"","Contig","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt","ID_PANTHER","ID_PRINTS","ID_Pfam","ID_SMART","ID_SUPERFAMILY","Desc_PANTHER","Desc_PRINTS","Desc_Pfam","Desc_SMART","Desc_SUPERFAMILY","ID_KEGG","Desc_KEGG","ID_GO","SP","No.TM","vennLocation"
"27","NVE14201",0,0.511585276569851,0.634462524260262,0.534381542876081,-0.895738959818416,-1.01861620750883,-0.918535226124646,-1.54607201842066,-1.16191833517209,-1.80532752268771,"PTHR11937;PTHR11937:SF278","PR00190","PF00022","SM00268","SSF53067",NA,"Actin signature","Actin","",NA,"K05692","ACTB_G1; actin beta/gamma 1",";GO:0005524","N","0","overlap"
"28","NVE14301",-0.5813962242346,-1.26243188708211,-1.21010065025507,-1.30918672676551,0.681035662847511,0.628704426020474,0.727790502530911,1.45507730259613,2.03647352683073,2.32770017123211,"PTHR22914;PTHR22914:SF20","","PF03142;PF00536","SM00454","SSF47769;SSF53448",NA,"","Chitin synthase;SAM domain (Sterile alpha motif)","",NA,"K00698","CHS1; chitin synthase [EC:2.4.1.16]","GO:0004100;GO:0006038;GO:0016021;GO:0030428;GO:0071944","N","7;0","overlap"
"29","NVE14348",0,-0.273921717751778,-0.280973787019649,-0.432888382592902,0,0,0.221158386977067,0.296248814136538,0.507978809752373,0.536151352942516,"PTHR14454:SF11;PTHR14454","","PF00536;PF12736","SM00454","SSF47769",NA,"","SAM domain (Sterile alpha motif);Cell-cycle sustaining; positive selection;","",NA,"","",NA,"N","0","overlap"
"30","NVE14489",0,0.661972598510205,0.828325269017445,1.21725035328481,-0.973371614692179,-1.13972428519942,-1.52864936946678,-2.0604871259087,-1.74908810972672,-2.53971718145156,"PTHR11878:SF45;PTHR11878","","PF03160","SM00237","SSF141072",NA,"","Calx-beta domain","",NA,"","","GO:0007154;GO:0016021","N","0;3","overlap"
"31","NVE14513",0,-0.83475213990808,-0.747330453770564,-0.663562924241216,1.10708172254416,1.01966003640664,0.935892506877293,1.72864904168772,1.45631945905164,2.12331207112183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"N","0","overlap"
"32","NVE14569",0,-0.755663963563897,-0.668151575799524,-0.993790408711797,0.780823104463568,0.693310716699195,1.01894954961147,1.48578677769976,1.46062763680009,1.96427593333732,"PTHR43198;PTHR43198:SF2","","PF03070","","SSF48613",NA,"","TENA/THI-4/PQQC family","",NA,"","","GO:0005829","N","0","overlap"
"33","NVE14592",0.290827811184205,0.606447114761003,0.484785977239613,0.651782535400063,-0.315619303576798,0,-0.360954724215857,-0.638649970445601,-0.929477781629807,-1.04541889333104,"PTHR11315","","PF07722","","SSF52317",NA,"","Peptidase C26","",NA,"K01307","GGH; gamma-glutamyl hydrolase [EC:3.4.19.9]","GO:0005773;GO:0034722;GO:0046900","Y","0","overlap"
"34","NVE14677",0,-0.625782444483676,-0.534883876694117,-0.569815076243367,0,0,0,0.546149345126098,0.89767789144263,0.962551098115362,"PTHR11988:SF27;PTHR11988","","PF07716","SM00338","SSF57959",NA,"","Basic region leucine zipper","",NA,"K09057","HLF; hepatic leukemia factor","GO:0000977;GO:0001077;GO:0005634;GO:0007275","N","0","overlap"
"35","NVE15261",0,-0.297499306707761,-0.32939331563447,-0.343351116262416,0.249868334632998,0.281762343559707,0.295720144187653,0.515463275539512,0.563094247614276,0.719038021034698,"PTHR10454;PTHR10454:SF164","PR00376","PF00656","SM00115","SSF52129",NA,"Interleukin-1B converting enzyme signature","Caspase domain","",NA,"K04397","CASP7; caspase 7 [EC:3.4.22.60]","GO:0005737;GO:0097194;GO:0097200","N","0","overlap"
"36","NVE15371",-0.651400057660646,-0.594818626571291,-1.12325333420866,-0.783900647980637,0,0,0,0,1.24062391916835,1.21989820630382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"N","0","overlap"
"37","NVE15379",0.618623446706092,1.02497748404345,0.9312719363909,0.864533570879457,0,0,0,-0.826396699106117,-1.44502014581221,-1.51427812185692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0016021",NA,NA,"overlap"
"38","NVE15380",0.72712299966332,0.910877905742987,1.11521542737228,0.935978540915014,0,0,0,-0.759270675653565,-1.48639367531688,-1.49710977501026,"PTHR24291:SF56;PTHR24291","","PF00067","","SSF48264",NA,"","Cytochrome P450","",NA,"K07427","CYP4V; cytochrome P450 family 4 subfamily V","GO:0004497;GO:0005506;GO:0016021;GO:0016705;GO:0020037","N","0","overlap"
"39","NVE15531",0,-0.704196938972856,-0.515357978076699,-0.506017560752779,0.886285432449701,0.697446471553544,0.688106054229624,1.29026793892,1.10817944544315,1.59896445509959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0004129;GO:0016021",NA,NA,"overlap"
"40","NVE15726",0,1.38355617689217,1.62090256089727,1.70524425367173,-1.41884834407308,-1.65619472807818,-1.74053642085263,-2.87523041637574,-2.83993824919483,-3.8101127875089,"PTHR34490;PTHR34490:SF1","","","","",NA,"","","",NA,"","",NA,"N","0;11;3","overlap"
"41","NVE15731",0,-0.571855728404095,-0.696306738304885,-1.03809491544539,0.296265952361073,0.420716962261863,0.762505139402365,0.9979292164605,1.27351899250352,1.51429841128592,"PTHR10024:SF218;PTHR10024","","PF00168","SM00239","SSF49562",NA,"","C2 domain","",NA,"K19911","SYT11; synaptotagmin-11","GO:0005509;GO:0005544;GO:0005886;GO:0006906;GO:0017158;GO:0019905;GO:0030276","N","1;0","overlap"
"42","NVE15847",0.4015161022722,0.414653028175541,0.423058646020091,0.473939079585322,0,0,0,0,-0.626383662318259,-0.567501105777406,"PTHR10504;PTHR10504:SF73","","PF01273","SM00328","SSF55394",NA,"","LBP / BPI / CETP family; N-terminal domain","",NA,"","","GO:0008289","Y","0","overlap"
"43","NVE15926",0,-0.807614329247821,-0.744987445006435,-0.860612101985841,0.434480399519356,0,0.487478172257377,0.925541129080996,1.29867505880946,1.48281053779631,"PTHR33447:SF2;PTHR33447","","PF05023","","SSF54001",NA,"","Phytochelatin synthase","",NA,"K05941","E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]","GO:0010038;GO:0016756;GO:0046872;GO:0046938","N","0","overlap"
"44","NVE15963",-0.554063461676305,-0.936440415691573,-0.604011389666669,-0.810285448944126,0,0,0,0.634753964846929,1.18881742652323,1.2157138787365,"PTHR10336","PR00390","PF00168;PF00387;PF00388;PF09279","SM00239;SM00148;SM00149","SSF47473;SSF49562;SSF51695",NA,"Phospholipase C signature","C2 domain;Phosphatidylinositol-specific phospholipase C; Y domain;Phosphatidylinositol-specific phospholipase C; X domain;Phosphoinositide-specific phospholipase C; efhand-like","",NA,"K05857","PLCD; phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]","GO:0004435;GO:0005622;GO:0016042;GO:0035556;GO:0005509","N","0","overlap"
"45","NVE15976",0,-0.723753748452568,-0.762704291836114,-0.687136684883529,0.731052953118718,0.770003496502263,0.694435889549679,1.31437613493681,1.30707693027066,1.74763503238758,"PTHR14482","","","","",NA,"","","",NA,"","",NA,"N","0;2;1","overlap"
"46","NVE16000",0,-1.34672664116688,-0.959534225815062,-0.767713328108651,1.20836610662256,0.821173691270737,0.629352793564326,1.650680004822,1.78904053936633,2.29314683268414,"PTHR11685;PTHR11685:SF168","","PF01485","SM00647","SSF57850",NA,"","IBR domain; a half RING-finger domain","",NA,"K11977","RNF217; E3 ubiquitin-protein ligase RNF217 [EC:2.3.2.31]","GO:0004842;GO:0016021;GO:0046872;GO:0000151;GO:0000209;GO:0005737;GO:0031624;GO:0032436;GO:0061630","N","1","overlap"
"47","NVE16014",0,-0.924909500882643,-1.32804359199996,-1.17472954380045,1.16013223559125,1.56326632670857,1.40995227850906,2.38592179970955,2.15069906500094,3.02441358555061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0005261;GO:0005886;GO:0006816;GO:0016021;GO:0034220;GO:0086010",NA,NA,"overlap"
"48","NVE1609",0,0.498242965248006,0.367491122843026,0.356061607165257,-0.597543992832945,-0.466792150427964,-0.455362634750195,-0.872098445310109,-0.77279741772517,-1.09659758407567,"PTHR11069","PR00843","PF17189;PF02055","","SSF51011;SSF51445",NA,"Glycosyl hydrolase family 30 signature","Glycosyl hydrolase family 30 beta sandwich domain;Glycosyl hydrolase family 30 TIM-barrel domain","",NA,"K01201","GBA; glucosylceramidase [EC:3.2.1.45]","GO:0004348;GO:0005764;GO:0006680;GO:0006665","Y","0","overlap"
"49","NVE16125",-0.630814834833947,-0.514379744097302,-0.619025270051154,-1.02713474555248,0,0,0.396319910718536,0.413183453687245,1.04399828852119,0.971454189277118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0016021","N","1","overlap"
"50","NVE16272",-0.899698240006563,1.34218269984383,0.87113095854999,0.994760147041902,-2.24188093985039,-1.77082919855655,-1.89445838704846,-3.18442157543532,-2.28472333542875,-3.6460968104388,"","","","SM00409","SSF48726",NA,"","","",NA,"","",NA,"N","0","overlap"
"51","NVE164",0.882792797766607,0.464186047604491,1.16167241651042,1.95016241955744,0.418606750162115,0,-1.06736962179083,-0.909702245720038,-1.79249504348665,-1.80146516581289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0003677;GO:0045892",NA,NA,"overlap"
"52","NVE16441",0,-0.859348762904116,-0.966522989564218,-1.35946402962658,0.811878194239058,0.91905242089916,1.31199346096152,1.84474292887299,1.89221349753805,2.49130407115142,"PTHR10117:SF54;PTHR10117","","PF08344","","SSF48403",NA,"","Transient receptor ion channel II","",NA,"K04967","","GO:0005887;GO:0006828;GO:0015279;GO:0051480;GO:0005262;GO:0016021","N","0","overlap"
"53","NVE16653",0.439714224332679,0.611564991696603,0.453724398617022,0.663370970644966,0,0,0,-0.421595749537016,-0.861309973869695,-0.855270943081464,"PTHR24115:SF592;PTHR24115","PR00380","PF00225","SM00129","SSF52540",NA,"Kinesin heavy chain signature","Kinesin motor domain","",NA,"","","GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017;GO:0016887","N","0","overlap"
"54","NVE1679",0,-0.792793558668917,-0.558669236326686,-1.02249054559661,0.968233312136926,0.734108989794695,1.19793029906462,1.66998823488842,1.49454848142041,2.10969066447432,"PTHR12461;PTHR12461:SF57","","PF13621","SM00558","SSF51197;SSF47473",NA,"","Cupin-like domain","",NA,"K10277","KDM8; lysine-specific demethylase 8 [EC:1.14.11.27]",NA,"Y;N","0;5","overlap"
"55","NVE17152",-0.589719411879841,-0.505094941603893,-0.716359698468936,-0.963761371053134,0,0,0,0.485522761048513,1.07524217292835,1.04050968014732,"PTHR10117","PR01097","","","",NA,"Transient receptor potential family signature","","",NA,"","","GO:0004563;GO:0005975;GO:0102148","N","1","overlap"
"56","NVE17217",0,-0.960052964732602,-0.866236754858971,-1.26510866883266,0.814601846339092,0.720785636465462,1.11965755043915,1.65120806773867,1.79665918613218,2.29857766888469,"PTHR10827:SF52;PTHR10827","","PF13499","SM00054","SSF47473",NA,"","EF-hand domain pair","",NA,"","","GO:0005509","N","0","overlap"
"57","NVE17248",0,-0.808750444473825,-0.915640726546393,-0.660002894020582,1.20703749849671,1.31392778056928,1.05828994804347,1.98823856851454,1.58995151449165,2.38545984378911,"PTHR40743","","","","",NA,"","","",NA,"","",NA,"N","0","overlap"
"58","NVE17404",0,-0.393474332739207,-0.438913663972035,-0.430338148768136,0,0,0,0.457532060940126,0.671892065744257,0.752949100807687,"PTHR24413:SF141;PTHR24413","","PF00651;PF08005;PF07707","SM00875","SSF54695",NA,"","BTB/POZ domain;PHR domain;BTB And C-terminal Kelch","",NA,"K10478","BTBD3_6; BTB/POZ domain-containing protein 3/6","GO:0005737;GO:0019005;GO:0030162;GO:0031625;GO:0043161","N","0;1","overlap"
"59","NVE17569",0,-0.756029324860165,-1.3767090247613,-1.37763312404634,0.446608624010079,1.06728832391121,1.06821242319626,1.67303437748329,1.98245507833338,2.43699257515051,"PTHR11405:SF38;PTHR11405","PR00098","PF02786;PF02142","SM00851","SSF52440;SSF56059;SSF52335",NA,"Carbamoyl-phosphate synthase protein CPSase domain signature","Carbamoyl-phosphate synthase L chain; ATP binding domain;MGS-like domain","",NA,"K01948","CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]","GO:0000050;GO:0004087;GO:0004088;GO:0005524;GO:0005737;GO:0006526;GO:0046872","Y;N","0","overlap"
"60","NVE17787",0,0.870911326736599,1.41128939355596,1.52142902198672,-1.00777555213005,-1.54815361894941,-1.65829324738017,-2.47378748436112,-2.33692325896767,-3.20714072601693,"PTHR11662;PTHR11662:SF406","","PF07690","","SSF103473",NA,"","Major Facilitator Superfamily","",NA,"K12302","SLC17A6_7_8; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8","GO:0006820;GO:0016021;GO:0022857;GO:0055085","N","11","overlap"
"61","NVE17825",0,-0.795711694612286,-0.963417522114844,-1.30348197427625,0.748207589929326,0.915913417431884,1.25597786959329,1.77106171388706,1.81856581857002,2.39308440010374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Y;N","0;1","overlap"
"62","NVE17842",0,-1.11678792123779,-0.910520965152626,-1.01324793231204,1.6423067509966,1.43603979491145,1.53876676207086,2.56006095326019,2.03454212350137,3.06306830086073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Y","0","overlap"
"63","NVE18006",0,0.556168763287945,0.727723304827997,1.39174157729255,-0.851727671527807,-1.02328221306786,-1.68730048553241,-2.01916223410711,-1.72360332586725,-2.49517739387773,"","","PF03160","","SSF141072",NA,"","Calx-beta domain","",NA,"","","GO:0007154;GO:0016021","N","1;0","overlap"
"64","NVE18041",-0.413502375448773,-0.390884328641404,-0.480754171826181,-0.699536902516684,0,0,0.286034527067911,0.363802390252017,0.777304765700791,0.760737708893756,"PTHR44667","","PF01391","","",NA,"","Collagen triple helix repeat (20 copies)","",NA,"","","GO:0005581","Y","0","overlap"
"65","NVE18112",0,0.501841813842287,0.866974358430593,0.586562025114649,-0.613448435103003,-0.978580979691309,-0.698168646375364,-1.32947588517216,-1.21786926391145,-1.6982303519102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"overlap"
"66","NVE18114",0,-0.674212434498966,-0.595999873250454,-0.707904567012934,0.909908632525918,0.831696071277406,0.943600765039886,1.51684528234859,1.28114908432163,1.86532917756895,"PTHR10510;PTHR10510:SF11","","","","SSF81419",NA,"","","",NA,"K02270","COX7A; cytochrome c oxidase subunit 7a","GO:0004129;GO:0005746;GO:0016021","N","1","overlap"
"67","NVE1812",0,1.10204294039321,1.18592698631449,1.6695316771415,-0.544790876159675,-0.62867492208096,-1.11227961290797,-1.59434776527958,-2.15159982951311,-2.49729865244763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0005576;GO:0009966;GO:0042151;GO:0090729",NA,NA,"overlap"
"68","NVE18345",0,-0.362268247125978,-0.404590230187816,-0.696947572786592,0,0,0.457913033462312,0.543635712391649,0.782670251715928,0.884203611583878,"","","PF00078","","SSF56672",NA,"","Reverse transcriptase (RNA-dependent DNA polymerase)","",NA,"","",NA,"N","0","overlap"
"69","NVE1852",0,-0.791175551947166,-0.742894788631732,-1.20925620334358,0,0,0.799559831784095,1.07242140560241,1.48211777716189,1.7030257889827,"PTHR24190;PTHR24190:SF11","PR01415","PF00520;PF13857;PF13637;PF12796","SM00248","SSF48403",NA,"Ankyrin repeat signature","Ion transport protein;Ankyrin repeats (many copies);Ankyrin repeats (3 copies)","",NA,"K04984","TRPA1; transient receptor potential cation channel subfamily A member 1",NA,"N","5;0","overlap"
