KO.y,cluster,KO,Description,Category,Family,KO.y,Name,Pathway
ko01220,NVE13938,K00002,AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism,Overview,ko01220,"AKR1A1, adh, alcohol dehydrogenase (NADP+)",01220 Degradation of aromatic compounds
ko00564,NVE4030,K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],Metabolism,Lipid metabolism,ko00564,"GPD1, glycerol-3-phosphate dehydrogenase (NAD+)",00564 Glycerophospholipid metabolism
ko04011,NVE4030,K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],Environmental Information Processing,Signal transduction,ko04011,"GPD1, glycerol-3-phosphate dehydrogenase (NAD+)",04011 MAPK signaling pathway - yeast
ko00040,NVE12805,K00008,SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14],Metabolism,Carbohydrate metabolism,ko00040,"SORD, gutB, L-iditol 2-dehydrogenase",00040 Pentose and glucuronate interconversions
ko00051,NVE12805,K00008,SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14],Metabolism,Carbohydrate metabolism,ko00051,"SORD, gutB, L-iditol 2-dehydrogenase",00051 Fructose and mannose metabolism
ko00562,NVE3257,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,Carbohydrate metabolism,ko00562,"iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase",00562 Inositol phosphate metabolism
ko00521,NVE3257,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,Biosynthesis of other secondary metabolites,ko00521,"iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase",00521 Streptomycin biosynthesis
ko00562,NVE3259,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,Carbohydrate metabolism,ko00562,"iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase",00562 Inositol phosphate metabolism
ko00521,NVE3259,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,Biosynthesis of other secondary metabolites,ko00521,"iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase",00521 Streptomycin biosynthesis
ko00040,NVE8495,K00012,UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism,Carbohydrate metabolism,ko00040,"UGDH, ugd, UDPglucose 6-dehydrogenase",00040 Pentose and glucuronate interconversions
ko00053,NVE8495,K00012,UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism,Carbohydrate metabolism,ko00053,"UGDH, ugd, UDPglucose 6-dehydrogenase",00053 Ascorbate and aldarate metabolism
ko00520,NVE8495,K00012,UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism,Carbohydrate metabolism,ko00520,"UGDH, ugd, UDPglucose 6-dehydrogenase",00520 Amino sugar and nucleotide sugar metabolism
ko00630,NVE19601,K00015,gyaR; glyoxylate reductase [EC:1.1.1.26],Metabolism,Carbohydrate metabolism,ko00630,"gyaR, glyoxylate reductase",00630 Glyoxylate and dicarboxylate metabolism
ko00650,NVE13290,K00019,E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],Metabolism,Carbohydrate metabolism,ko00650,"E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase",00650 Butanoate metabolism
ko00072,NVE13290,K00019,E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],Metabolism,Lipid metabolism,ko00072,"E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase",00072 Synthesis and degradation of ketone bodies
ko00650,NVE2030,K00019,E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],Metabolism,Carbohydrate metabolism,ko00650,"E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase",00650 Butanoate metabolism
ko00072,NVE2030,K00019,E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],Metabolism,Lipid metabolism,ko00072,"E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase",00072 Synthesis and degradation of ketone bodies
ko00280,NVE19050,K00020,mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],Metabolism,Amino acid metabolism,ko00280,"mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase","00280 Valine, leucine and isoleucine degradation"
ko00280,NVE12851,K00020,mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],Metabolism,Amino acid metabolism,ko00280,"mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase","00280 Valine, leucine and isoleucine degradation"
ko00280,NVE12850,K00020,mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],Metabolism,Amino acid metabolism,ko00280,"mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase","00280 Valine, leucine and isoleucine degradation"
ko00900,NVE4296,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],Metabolism,Metabolism of terpenoids and polyketides,ko00900,"HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)",00900 Terpenoid backbone biosynthesis
ko04152,NVE4296,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],Environmental Information Processing,Signal transduction,ko04152,"HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)",04152 AMPK signaling pathway
ko04976,NVE4296,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],Organismal Systems,Digestive system,ko04976,"HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)",04976 Bile secretion
ko01212,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Overview,ko01212,"HADH, 3-hydroxyacyl-CoA dehydrogenase",01212 Fatty acid metabolism
ko00650,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Carbohydrate metabolism,ko00650,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00650 Butanoate metabolism
ko00062,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Lipid metabolism,ko00062,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00062 Fatty acid elongation
ko00071,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Lipid metabolism,ko00071,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00071 Fatty acid degradation
ko00280,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Amino acid metabolism,ko00280,"HADH, 3-hydroxyacyl-CoA dehydrogenase","00280 Valine, leucine and isoleucine degradation"
ko00310,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Amino acid metabolism,ko00310,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00310 Lysine degradation
ko00380,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Amino acid metabolism,ko00380,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00380 Tryptophan metabolism
ko00281,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Metabolism of terpenoids and polyketides,ko00281,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00281 Geraniol degradation
ko00930,NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Metabolism,Xenobiotics biodegradation and metabolism,ko00930,"HADH, 3-hydroxyacyl-CoA dehydrogenase",00930 Caprolactam degradation
ko01200,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Overview,ko01200,"mdh, malate dehydrogenase",01200 Carbon metabolism
ko00020,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00020,"mdh, malate dehydrogenase",00020 Citrate cycle (TCA cycle)
ko00620,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00620,"mdh, malate dehydrogenase",00620 Pyruvate metabolism
ko00630,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00630,"mdh, malate dehydrogenase",00630 Glyoxylate and dicarboxylate metabolism
ko00710,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Energy metabolism,ko00710,"mdh, malate dehydrogenase",00710 Carbon fixation in photosynthetic organisms
ko00720,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Energy metabolism,ko00720,"mdh, malate dehydrogenase",00720 Carbon fixation pathways in prokaryotes
ko00680,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Energy metabolism,ko00680,"mdh, malate dehydrogenase",00680 Methane metabolism
ko00270,NVE23153,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,Amino acid metabolism,ko00270,"mdh, malate dehydrogenase",00270 Cysteine and methionine metabolism
ko01200,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Overview,ko01200,"MDH1, malate dehydrogenase",01200 Carbon metabolism
ko00020,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00020,"MDH1, malate dehydrogenase",00020 Citrate cycle (TCA cycle)
ko00620,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00620,"MDH1, malate dehydrogenase",00620 Pyruvate metabolism
ko00630,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00630,"MDH1, malate dehydrogenase",00630 Glyoxylate and dicarboxylate metabolism
ko00710,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Energy metabolism,ko00710,"MDH1, malate dehydrogenase",00710 Carbon fixation in photosynthetic organisms
ko00270,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Metabolism,Amino acid metabolism,ko00270,"MDH1, malate dehydrogenase",00270 Cysteine and methionine metabolism
ko04964,NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],Organismal Systems,Excretory system,ko04964,"MDH1, malate dehydrogenase",04964 Proximal tubule bicarbonate reclamation
ko01200,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Overview,ko01200,"MDH2, malate dehydrogenase",01200 Carbon metabolism
ko00020,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00020,"MDH2, malate dehydrogenase",00020 Citrate cycle (TCA cycle)
ko00620,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00620,"MDH2, malate dehydrogenase",00620 Pyruvate metabolism
ko00630,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Carbohydrate metabolism,ko00630,"MDH2, malate dehydrogenase",00630 Glyoxylate and dicarboxylate metabolism
ko00710,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Energy metabolism,ko00710,"MDH2, malate dehydrogenase",00710 Carbon fixation in photosynthetic organisms
ko00270,NVE21216,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],Metabolism,Amino acid metabolism,ko00270,"MDH2, malate dehydrogenase",00270 Cysteine and methionine metabolism
ko01200,NVE8805,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Overview,ko01200,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",01200 Carbon metabolism
ko00620,NVE8805,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Carbohydrate metabolism,ko00620,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00620 Pyruvate metabolism
ko00710,NVE8805,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Energy metabolism,ko00710,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00710 Carbon fixation in photosynthetic organisms
ko01200,NVE11482,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Overview,ko01200,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",01200 Carbon metabolism
ko00620,NVE11482,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Carbohydrate metabolism,ko00620,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00620 Pyruvate metabolism
ko00710,NVE11482,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Energy metabolism,ko00710,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00710 Carbon fixation in photosynthetic organisms
ko01200,NVE8806,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Overview,ko01200,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",01200 Carbon metabolism
ko00620,NVE8806,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Carbohydrate metabolism,ko00620,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00620 Pyruvate metabolism
ko00710,NVE8806,K00029,E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism,Energy metabolism,ko00710,"E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)",00710 Carbon fixation in photosynthetic organisms
ko01200,NVE6571,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01200,"IDH3, isocitrate dehydrogenase (NAD+)",01200 Carbon metabolism
ko01210,NVE6571,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01210,"IDH3, isocitrate dehydrogenase (NAD+)",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE6571,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01230,"IDH3, isocitrate dehydrogenase (NAD+)",01230 Biosynthesis of amino acids
ko00020,NVE6571,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Carbohydrate metabolism,ko00020,"IDH3, isocitrate dehydrogenase (NAD+)",00020 Citrate cycle (TCA cycle)
ko01200,NVE14769,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01200,"IDH3, isocitrate dehydrogenase (NAD+)",01200 Carbon metabolism
ko01210,NVE14769,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01210,"IDH3, isocitrate dehydrogenase (NAD+)",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE14769,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01230,"IDH3, isocitrate dehydrogenase (NAD+)",01230 Biosynthesis of amino acids
ko00020,NVE14769,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Carbohydrate metabolism,ko00020,"IDH3, isocitrate dehydrogenase (NAD+)",00020 Citrate cycle (TCA cycle)
ko01200,NVE10089,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01200,"IDH3, isocitrate dehydrogenase (NAD+)",01200 Carbon metabolism
ko01210,NVE10089,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01210,"IDH3, isocitrate dehydrogenase (NAD+)",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE10089,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01230,"IDH3, isocitrate dehydrogenase (NAD+)",01230 Biosynthesis of amino acids
ko00020,NVE10089,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Carbohydrate metabolism,ko00020,"IDH3, isocitrate dehydrogenase (NAD+)",00020 Citrate cycle (TCA cycle)
ko01200,NVE14766,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01200,"IDH3, isocitrate dehydrogenase (NAD+)",01200 Carbon metabolism
ko01210,NVE14766,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01210,"IDH3, isocitrate dehydrogenase (NAD+)",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE14766,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Overview,ko01230,"IDH3, isocitrate dehydrogenase (NAD+)",01230 Biosynthesis of amino acids
ko00020,NVE14766,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism,Carbohydrate metabolism,ko00020,"IDH3, isocitrate dehydrogenase (NAD+)",00020 Citrate cycle (TCA cycle)
ko01200,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01200,"IDH1, IDH2, icd, isocitrate dehydrogenase",01200 Carbon metabolism
ko01210,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01210,"IDH1, IDH2, icd, isocitrate dehydrogenase",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01230,"IDH1, IDH2, icd, isocitrate dehydrogenase",01230 Biosynthesis of amino acids
ko00020,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Carbohydrate metabolism,ko00020,"IDH1, IDH2, icd, isocitrate dehydrogenase",00020 Citrate cycle (TCA cycle)
ko00720,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Energy metabolism,ko00720,"IDH1, IDH2, icd, isocitrate dehydrogenase",00720 Carbon fixation pathways in prokaryotes
ko00480,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Metabolism of other amino acids,ko00480,"IDH1, IDH2, icd, isocitrate dehydrogenase",00480 Glutathione metabolism
ko04146,NVE21432,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Cellular Processes,Transport and catabolism,ko04146,"IDH1, IDH2, icd, isocitrate dehydrogenase",04146 Peroxisome
ko01200,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01200,"IDH1, IDH2, icd, isocitrate dehydrogenase",01200 Carbon metabolism
ko01210,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01210,"IDH1, IDH2, icd, isocitrate dehydrogenase",01210 2-Oxocarboxylic acid metabolism
ko01230,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Overview,ko01230,"IDH1, IDH2, icd, isocitrate dehydrogenase",01230 Biosynthesis of amino acids
ko00020,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Carbohydrate metabolism,ko00020,"IDH1, IDH2, icd, isocitrate dehydrogenase",00020 Citrate cycle (TCA cycle)
ko00720,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Energy metabolism,ko00720,"IDH1, IDH2, icd, isocitrate dehydrogenase",00720 Carbon fixation pathways in prokaryotes
ko00480,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,Metabolism of other amino acids,ko00480,"IDH1, IDH2, icd, isocitrate dehydrogenase",00480 Glutathione metabolism
ko04146,NVE21874,K00031,IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Cellular Processes,Transport and catabolism,ko04146,"IDH1, IDH2, icd, isocitrate dehydrogenase",04146 Peroxisome
ko01200,NVE7806,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Overview,ko01200,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",01200 Carbon metabolism
ko00030,NVE7806,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Carbohydrate metabolism,ko00030,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",00030 Pentose phosphate pathway
ko00480,NVE7806,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Metabolism of other amino acids,ko00480,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",00480 Glutathione metabolism
ko01200,NVE6760,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Overview,ko01200,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",01200 Carbon metabolism
ko00030,NVE6760,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Carbohydrate metabolism,ko00030,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",00030 Pentose phosphate pathway
ko00480,NVE6760,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,Metabolism of other amino acids,ko00480,"PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase",00480 Glutathione metabolism
ko01200,NVE11147,K00036,G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,Overview,ko01200,"G6PD, zwf, glucose-6-phosphate 1-dehydrogenase",01200 Carbon metabolism
ko00030,NVE11147,K00036,G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,Carbohydrate metabolism,ko00030,"G6PD, zwf, glucose-6-phosphate 1-dehydrogenase",00030 Pentose phosphate pathway
ko00480,NVE11147,K00036,G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,Metabolism of other amino acids,ko00480,"G6PD, zwf, glucose-6-phosphate 1-dehydrogenase",00480 Glutathione metabolism
ko05230,NVE11147,K00036,G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Human Diseases,Cancers,ko05230,"G6PD, zwf, glucose-6-phosphate 1-dehydrogenase",05230 Central carbon metabolism in cancer
ko00620,NVE1238,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],Metabolism,Carbohydrate metabolism,ko00620,"GRHPR, glyoxylate/hydroxypyruvate reductase",00620 Pyruvate metabolism
ko00630,NVE1238,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],Metabolism,Carbohydrate metabolism,ko00630,"GRHPR, glyoxylate/hydroxypyruvate reductase",00630 Glyoxylate and dicarboxylate metabolism
ko00260,NVE1238,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],Metabolism,Amino acid metabolism,ko00260,"GRHPR, glyoxylate/hydroxypyruvate reductase","00260 Glycine, serine and threonine metabolism"
ko00620,NVE21878,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],Metabolism,Carbohydrate metabolism,ko00620,"GRHPR, glyoxylate/hydroxypyruvate reductase",00620 Pyruvate metabolism
ko00630,NVE21878,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],Metabolism,Carbohydrate metabolism,ko00630,"GRHPR, glyoxylate/hydroxypyruvate reductase",00630 Glyoxylate and dicarboxylate metabolism
