cluster,KO,Description
NVE15832,K10779,ATRX; transcriptional regulator ATRX [EC:3.6.4.12]
NVE17337,K18626,TCHH; trichohyalin
NVE12885,K12168,HECW2; E3 ubiquitin-protein ligase HECW2 [EC:2.3.2.26]
NVE7502,K18663,ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]
NVE15930,,
NVE19844,,
NVE14167,K17341,HMCN; hemicentin
NVE10215,K22125,MYOF; myoferlin
NVE26005,K19922,BZRAP1; peripheral-type benzodiazepine receptor-associated protein 1
NVE23180,K17601,WDR81; WD repeat-containing protein 81
NVE9611,K02599,NOTCH1; Notch 1
NVE12774,K17592,SACS; sacsin
NVE13885,,
NVE20126,K11498,CENPE; centromeric protein E
NVE3491,,
NVE19761,,
NVE6008,,
NVE26118,K14314,NUP210; nuclear pore complex protein Nup210
NVE6837,,
NVE25337,,
NVE14552,K17751,MYH6_7; myosin heavy chain 6/7
NVE3411,,
NVE5006,,
NVE22455,K04988,PKD1L2; polycystin 1L2
NVE16886,,
NVE9376,,
NVE16911,,
NVE11060,K08267,RICTOR; rapamycin-insensitive companion of mTOR
NVE2326,K15712,TTC3; E3 ubiquitin-protein ligase TTC3 [EC:2.3.2.27]
NVE16953,K09186,MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]
NVE5667,K05636,"LAMB1; laminin, beta 1"
NVE5466,,
NVE7863,K20915,TP53BP1; tumor suppressor p53-binding protein 1
NVE5446,K05093,FGFR2; fibroblast growth factor receptor 2 [EC:2.7.10.1]
NVE3206,,
NVE9544,,
NVE20568,,
NVE8894,,
NVE5465,,
NVE5182,,
NVE21470,K13912,DMBT1; deleted in malignant brain tumors 1 protein
NVE18051,K08834,MYO3; myosin III [EC:2.7.11.1]
NVE22580,K03125,TAF1; transcription initiation factor TFIID subunit 1
NVE8431,,
NVE23473,,
NVE22616,,
NVE2016,K06254,AGRN; agrin
NVE22741,,
NVE22453,K04988,PKD1L2; polycystin 1L2
NVE13396,,
NVE862,K11765,ARID2; AT-rich interactive domain-containing protein 2
NVE8120,,
NVE17290,,
NVE17933,,
NVE24509,,
NVE21006,,
NVE26171,,
NVE21763,,
NVE23141,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE20748,,
NVE18627,K11653,ARID1; AT-rich interactive domain-containing protein 1
NVE17007,,
NVE19225,,
NVE1625,K17915,KIF14; kinesin family member 14
NVE25330,,
NVE2622,,
NVE12325,,
NVE11820,,
NVE14894,,
NVE445,K02999,RPA1; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]
NVE21566,,
NVE22978,K07752,CPD; carboxypeptidase D [EC:3.4.17.22]
NVE10923,,
NVE22408,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE20445,K08789,MAST; microtubule-associated serine/threonine kinase [EC:2.7.11.1]
NVE13344,,
NVE4719,,
NVE16617,K10866,RAD50; DNA repair protein RAD50 [EC:3.6.-.-]
NVE12597,K06530,CD109; CD109 antigen
NVE23605,,
NVE15736,,
NVE1340,,
NVE9142,,
NVE5595,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE3457,K05766,SSH; protein phosphatase slingshot [EC:3.1.3.16 3.1.3.48]
NVE16555,,
NVE8515,K00698,CHS1; chitin synthase [EC:2.4.1.16]
NVE4501,K08844,LRRK2; leucine-rich repeat kinase 2 [EC:2.7.11.1]
NVE15238,K19721,"COL5AS; collagen, type V/XI/XXIV/XXVII, alpha"
NVE7230,K19937,RAB3GAP2; Rab3 GTPase-activating protein non-catalytic subunit
NVE24137,K04498,EP300; E1A/CREB-binding protein [EC:2.3.1.48]
NVE1398,K10728,TOPBP1; topoisomerase (DNA) II binding protein 1
NVE2583,,
NVE22985,K11502,CENPJ; centromere protein J
NVE22456,K04988,PKD1L2; polycystin 1L2
NVE12225,K16589,HAUS6; HAUS augmin-like complex subunit 6
NVE14902,K19511,PXDN; peroxidase [EC:1.11.1.7]
NVE4213,K18040,PTPN23; tyrosine-protein phosphatase non-receptor type 23 [EC:3.1.3.48]
NVE23574,K06766,NEO1; neogenin
NVE13814,,
NVE3376,,
NVE9574,K16725,CEP192; centrosomal protein CEP192
NVE12923,,
NVE10900,,
NVE10278,,
NVE3190,K05094,FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]
NVE7894,,
NVE4482,K10593,EDD1; E3 ubiquitin-protein ligase EDD1 [EC:2.3.2.26]
NVE4882,,
NVE15859,K05094,FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]
NVE11321,K04237,PARD3; partitioning defective protein 3
NVE13829,,
NVE21305,,
NVE7642,,
NVE14893,,
NVE10522,K16724,STIL; SCL-interrupting locus protein
NVE18768,,
NVE10536,K08621,ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]
NVE7211,K00548,metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
NVE4282,,
NVE7439,K04605,GRM2_3; metabotropic glutamate receptor 2/3
NVE65,K17538,PEAK1; pseudopodium-enriched atypical kinase 1 [EC:2.7.10.2]
NVE17685,K05858,"PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
NVE4725,,
NVE7111,,
NVE1151,,
NVE22830,,
NVE17030,,
NVE3705,,
NVE2025,K20190,HPS3; Hermansky-Pudlak syndrome 3 protein
NVE12950,K12619,XRN2; 5'-3' exoribonuclease 2 [EC:3.1.13.-]
NVE2508,K12396,AP3D; AP-3 complex subunit delta
NVE3378,,
NVE11952,,
NVE24736,K17902,TBC1D4; TBC1 domain family member 4
NVE7540,,
NVE111,K12968,ADAR; double-stranded RNA-specific adenosine deaminase [EC:3.5.4.37]
NVE12904,K06233,LRP2; low density lipoprotein-related protein 2
NVE11584,,
NVE8598,K11840,USP9_24; ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.4.19.12]
NVE20904,,
NVE18578,,
NVE26181,K04659,THBS2S; thrombospondin 2/3/4/5
NVE19383,K11424,WHSC1; histone-lysine N-methyltransferase NSD2 [EC:2.1.1.43]
NVE24386,,
NVE7299,K12815,DHX38; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]
NVE5703,,
NVE7857,,
NVE13979,K17589,RB1CC1; RB1-inducible coiled-coil protein 1
NVE1424,,
NVE8734,K06674,SMC2; structural maintenance of chromosome 2
NVE4954,K16489,SFI1; protein SFI1
NVE19791,,
NVE701,K14292,TGS1; trimethylguanosine synthase [EC:2.1.1.-]
NVE23817,,
NVE2639,K20628,exlX; expansin
NVE15768,K17492,UBN; ubinuclein
NVE21987,K14007,SEC24; protein transport protein SEC24
NVE6515,,
NVE23610,K16669,FAT4; protocadherin Fat 4
NVE4772,K14780,DHX37; ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]
NVE2600,,
NVE10014,,
NVE11915,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE3966,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE12492,,
NVE19676,K18728,EIF4ENIF1; eukaryotic translation initiation factor 4E transporter
NVE14301,K00698,CHS1; chitin synthase [EC:2.4.1.16]
NVE25244,,
NVE13031,K11492,NCAPG2; condensin-2 complex subunit G2
NVE20065,,
NVE7176,,
NVE18514,K01534,zntA; Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 3.6.3.5]
NVE20148,K06532,PROM1; prominin 1
NVE10088,K15176,CTR9; RNA polymerase-associated protein CTR9
NVE16120,,
NVE3191,K00323,NNT; NAD(P) transhydrogenase [EC:1.6.1.2]
NVE21074,K17341,HMCN; hemicentin
NVE1852,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE16244,K20308,TRAPPC11; trafficking protein particle complex subunit 11
NVE5674,K17495,CSMD; CUB and sushi domain-containing protein
NVE14220,K05750,NCKAP1; NCK-associated protein 1
NVE19137,,
NVE17064,K14861,URB1; nucleolar pre-ribosomal-associated protein 1
NVE13070,,
NVE22173,K16726,ANKRD17; ankyrin repeat domain-containing protein 17
NVE5019,,
NVE2091,K10799,TNKS; tankyrase [EC:2.4.2.30]
NVE16016,,
NVE24506,K04464,MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]
NVE22711,K10597,UBE4B; ubiquitin conjugation factor E4 B [EC:2.3.2.27]
NVE12727,K04512,DAAM; dishevelled associated activator of morphogenesis
NVE20440,,
NVE2206,,
NVE8630,K10356,MYO1; myosin I
NVE22930,K00323,NNT; NAD(P) transhydrogenase [EC:1.6.1.2]
NVE13826,,
NVE10621,,
NVE16358,,
NVE12257,K21347,TAX1BP1; Tax1-binding protein 1
NVE6336,K04679,"MADHIP; MAD, mothers against decapentaplegic interacting protein"
NVE12771,K17592,SACS; sacsin
NVE19999,K20221,IPO4; importin-4
NVE4671,K17495,CSMD; CUB and sushi domain-containing protein
NVE17812,K11515,INCENP; inner centromere protein
NVE25611,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE18487,,
NVE896,,
NVE2076,,
NVE16363,K08857,NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]
NVE10352,K11109,POT1; protection of telomeres protein 1
NVE14512,,
NVE15147,,
NVE2007,,
NVE4883,K13912,DMBT1; deleted in malignant brain tumors 1 protein
NVE25453,,
NVE25584,K13123,GPATCH1; G patch domain-containing protein 1
NVE21743,K11729,ACAD10; acyl-CoA dehydrogenase family member 10
NVE20975,K05691,CTNNA; catenin alpha
NVE9437,,
NVE6915,K08815,TTBK; tau tubulin kinase [EC:2.7.11.26]
NVE17998,K19526,VPS13B; vacuolar protein sorting-associated protein 13B
NVE9548,K15690,RC3H; RING finger and CCCH-type zinc finger domain-containing protein
NVE2961,,
NVE6129,,
NVE2394,K11787,GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]
NVE1932,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE1299,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE6522,K13861,"SLC4A10; solute carrier family 4 (sodium bicarbonate transporter), member 10"
NVE17937,,
NVE21801,,
NVE12860,,
NVE19194,,
NVE14540,K05210,"GRIN2B; glutamate receptor ionotropic, NMDA 2B"
NVE13672,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE12191,,
NVE22856,K09583,"PDIA5; protein disulfide isomerase family A, member 5 [EC:5.3.4.1]"
NVE22375,K19027,ZFYVE26; zinc finger FYVE domain-containing protein 26
NVE23712,,
NVE11076,K06095,MPDZ; multiple PDZ domain protein
NVE18415,,
NVE195,,
NVE15259,,
NVE15460,,
NVE10153,K14607,SULF; extracellular sulfatase Sulf [EC:3.1.6.-]
NVE2825,K12585,DIS3; exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]
NVE2795,,
NVE2373,K08595,SENP6; sentrin-specific protease 6 [EC:3.4.22.68]
NVE13368,K06840,SEMA3; semaphorin 3
NVE22010,K19501,ANO7; anoctamin-7
NVE21178,K05202,"GRIK2; glutamate receptor, ionotropic kainate 2"
NVE25083,K12829,SF3B2; splicing factor 3B subunit 2
NVE18906,,
NVE15774,,
NVE26058,,
NVE4981,,
NVE3887,,
NVE14282,K12323,ANPRA; atrial natriuretic peptide receptor A [EC:4.6.1.2]
NVE22979,K18423,CSE1; exportin-2 (importin alpha re-exporter)
NVE11413,K08876,SCYL1; SCY1-like protein 1
NVE19213,,
NVE9844,K01874,MARS; methionyl-tRNA synthetase [EC:6.1.1.10]
NVE20612,,
NVE8797,K01530,E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]
NVE9241,K08863,PLK4; polo-like kinase 4 [EC:2.7.11.21]
NVE11030,K05105,EPHA4; Eph receptor A4 [EC:2.7.10.1]
NVE12513,,
NVE22191,K17595,SPATA2; spermatogenesis-associated protein 2
NVE19311,K18405,TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
NVE5146,K11853,USP34; ubiquitin carboxyl-terminal hydrolase 34 [EC:3.4.19.12]
NVE20681,K06584,ITGA8; integrin alpha 8
NVE25616,,
NVE10154,K20166,TBC1D2B; TBC1 domain family member 2B
NVE23229,,
NVE9488,K08737,MSH6; DNA mismatch repair protein MSH6
NVE21729,,
NVE25007,K20409,WDR59; WD repeat-containing protein 59
NVE19390,,
NVE16207,,
NVE18886,,
NVE12841,K00288,MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
NVE6897,K10905,ATRIP; ATR interacting protein
NVE2418,K04593,LPHN2; latrophilin 2
NVE2362,,
NVE16817,,
NVE18168,,
NVE16135,K14288,XPOT; exportin-T
NVE2769,,
NVE16045,K04988,PKD1L2; polycystin 1L2
NVE7908,,
NVE8095,K18619,CORO7; coronin-7
NVE4896,K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
NVE23424,K14439,SMARCAD1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:3.6.4.12]
NVE22045,K09608,TLL1; tolloid-like protein 1 [EC:3.4.24.-]
NVE15217,K14590,CMTR2; cap2 methyltransferase [EC:2.1.1.296]
NVE391,K15621,BAIAP3; BAI1-associated protein 3
NVE4207,,
NVE23803,,
NVE9647,K18422,MOV10; helicase MOV-10 [EC:3.6.4.13]
NVE3616,K17602,YLPM1; YLP motif-containing protein 1
NVE13268,,
NVE14806,K15436,TRPO3; transportin-3
NVE12789,K21066,ARHGEF18; A-kinase anchor protein 18
NVE16493,,
NVE404,,
NVE25864,,
NVE23570,,
NVE21716,,
NVE11196,K16570,TUBGCP3; gamma-tubulin complex component 3
NVE687,K01164,POP1; ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]
NVE25364,K17341,HMCN; hemicentin
NVE19055,,
NVE9365,K00901,dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]
NVE16468,K22125,MYOF; myoferlin
NVE25461,,
NVE4937,K19608,EVC2; ellis van creveld syndrome protein 2
NVE6171,,
NVE1988,,
NVE17413,K20051,LRP4; low-density lipoprotein receptor-related protein 4
NVE14371,,
NVE14719,,
NVE23988,,
NVE1904,,
NVE4208,K10297,FBXO11; F-box protein 11
NVE13108,,
NVE5409,,
NVE20883,,
NVE21083,,
NVE7218,,
NVE15667,K17108,GBA2; non-lysosomal glucosylceramidase [EC:3.2.1.45]
NVE24178,K11854,USP35_38; ubiquitin carboxyl-terminal hydrolase 35/38 [EC:3.4.19.12]
NVE1719,K02156,AUB; aubergine
NVE8729,K12874,AQR; intron-binding protein aquarius
NVE9388,,
NVE6936,,
NVE801,K15335,NSUN2; tRNA (cytosine34-C5)-methyltransferase [EC:2.1.1.203]
NVE363,K01681,ACO; aconitate hydratase [EC:4.2.1.3]
NVE15385,K22371,G2H3; G2/M phase-specific E3 ubiquitin-protein ligase [EC:2.3.2.26]
NVE24542,K18752,TNPO1; transportin-1
NVE22243,K17509,PDPR; pyruvate dehydrogenase phosphatase regulatory subunit
NVE14528,,
NVE15570,,
NVE21075,,
NVE5091,,
NVE24493,K17267,COPG; coatomer subunit gamma
NVE1157,K04615,GABBR; gamma-aminobutyric acid type B receptor
NVE3851,,
NVE15526,,
NVE20172,K14283,TACC3; transforming acidic coiled-coil-containing protein 3
NVE1974,,
NVE242,K02156,AUB; aubergine
NVE401,,
NVE20227,K18668,ZC3H12; ribonuclease ZC3H12 [EC:3.1.-.-]
NVE7751,,
NVE19165,,
NVE14309,K09454,"GABPB; GA-binding protein transcription factor, beta"
NVE19948,K04612,CASR; calcium-sensing receptor
NVE25486,,
NVE18032,,
NVE1168,,
NVE19654,,
NVE16428,K20191,HPS5; Hermansky-Pudlak syndrome 5 protein
NVE1282,K08889,FER; tyrosine-protein kinase Fer [EC:2.7.10.2]
NVE11711,K14558,PWP2; periodic tryptophan protein 2
NVE1649,,
NVE5353,,
NVE26027,,
NVE15958,K06228,FU; fused [EC:2.7.11.1]
NVE23450,K11461,SCMH1; polycomb protein SCMH1
NVE18319,K09608,TLL1; tolloid-like protein 1 [EC:3.4.24.-]
NVE25282,,
NVE11545,K06491,NCAM; neural cell adhesion molecule
NVE3947,,
NVE6411,K17266,MVP; major vault protein
NVE8026,,
NVE392,,
NVE16437,,
NVE8236,K13190,RBM15; RNA-binding protein 15
NVE4958,,
NVE4755,,
NVE19517,K11577,KNTC1; kinetochore-associated protein 1
NVE18225,K19192,SAP130; histone deacetylase complex subunit SAP130
NVE13916,K10369,SVIL; supervillin
NVE15574,,
NVE10486,K10858,PMS2; DNA mismatch repair protein PMS2
NVE1456,,
NVE17525,,
NVE9923,,
NVE8792,,
NVE4045,,
NVE5448,,
NVE5880,K08621,ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]
NVE10343,,
NVE22241,K14309,NUP93; nuclear pore complex protein Nup93
NVE13024,,
NVE24312,K14408,CSTF3; cleavage stimulation factor subunit 3
NVE1460,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE19829,K11224,STAT5B; signal transducer and activator of transcription 5B
NVE16672,,
NVE20835,,
NVE60,K19501,ANO7; anoctamin-7
NVE17585,,
NVE11598,K02370,"EXTL3; alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]"
NVE22857,,
NVE14372,,
NVE14713,K18438,"PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]"
NVE18332,K17512,SHARK; tyrosine-protein kinase shark [EC:2.7.10.2]
NVE3207,,
NVE5321,K04600,
NVE1653,,
NVE24966,,
NVE4359,,
NVE18027,K08017,AVIL; advillin
NVE19407,K20281,GCC1; GRIP and coiled-coil domain-containing protein 1
NVE4898,,
NVE13243,,
NVE18997,K18025,PTPN14_21; tyrosine-protein phosphatase non-receptor type 14/21 [EC:3.1.3.48]
NVE328,,
NVE5021,K00771,XYLT; protein xylosyltransferase [EC:2.4.2.26]
NVE4354,K14799,TSR1; pre-rRNA-processing protein TSR1
NVE13546,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE8242,K10408,"DNAH; dynein heavy chain, axonemal"
NVE6441,K01513,ENPP1_3; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]
NVE25383,,
NVE17425,K05635,
NVE984,,
NVE18486,,
NVE15925,K20704,ECT2; protein ECT2
NVE24532,K13862,"SLC4A11; solute carrier family 4 (sodium borate transporter), member 11"
NVE6251,K13982,DDX4; probable ATP-dependent RNA helicase DDX4 [EC:3.6.4.13]
NVE13027,K11997,TRIM2_3; tripartite motif-containing protein 2/3
NVE19670,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE13720,,
NVE10827,K18468,VPS35; vacuolar protein sorting-associated protein 35
NVE3372,K20299,VPS53; vacuolar protein sorting-associated protein 53
NVE12502,K08465,GPR133; G protein-coupled receptor 133
NVE22579,,
NVE1675,,
NVE17578,,
NVE10453,,
NVE19403,K20281,GCC1; GRIP and coiled-coil domain-containing protein 1
NVE14280,K13709,ARHGAP5; Rho GTPase-activating protein 5
NVE2367,K21871,MPHOSPH8; M-phase phosphoprotein 8
NVE13120,,
NVE16856,,
NVE12945,K21989,TMEM63; calcium permeable stress-gated cation channel
NVE24880,,
NVE25120,K18729,ANGEL; protein angel
NVE10382,K17341,HMCN; hemicentin
NVE20535,K08518,STXBP5; syntaxin-binding protein 5
NVE23021,,
NVE6550,,
NVE14899,K16196,EIF2AK4; eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]
NVE8293,,
NVE9342,K14692,"SLC30A5_7; solute carrier family 30 (zinc transporter), member 5/7"
NVE1983,K04558,"SNCAIP; synuclein, alpha interacting protein (synphilin)"
NVE20466,K16547,NEDD1; protein NEDD1
NVE25212,K10279,FBXL13; F-box and leucine-rich repeat protein 13
NVE9634,,
NVE2904,K21988,TMC; transmembrane channel-like protein
NVE8253,,
NVE21462,K17341,HMCN; hemicentin
NVE12569,,
NVE11242,K00744,"MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]"
NVE12089,K10349,FEM1B; Fem-1 homolog b
NVE24412,K19678,IFT80; intraflagellar transport protein 80
NVE11267,,
NVE10116,K14834,NOC3; nucleolar complex protein 3
NVE5414,K16538,PIBF1; progesterone-induced-blocking factor 1
NVE15941,K10746,EXO1; exonuclease 1 [EC:3.1.-.-]
NVE6854,,
NVE19082,K07817,PTPRN; receptor-type tyrosine-protein phosphatase N [EC:3.1.3.48]
NVE576,,
NVE24654,,
NVE2512,K04887,KCNC1; potassium voltage-gated channel Shaw-related subfamily C member 1
NVE18293,K06491,NCAM; neural cell adhesion molecule
NVE968,K22078,PGGHG; protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]
NVE1271,,
NVE3110,,
NVE12843,K08955,YME1; ATP-dependent metalloprotease [EC:3.4.24.-]
NVE8225,K08857,NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]
NVE3264,K16831,BORA; protein aurora borealis
NVE20528,,
NVE3725,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE24073,,
NVE24398,,
NVE2547,,
NVE24485,K01303,APEH; acylaminoacyl-peptidase [EC:3.4.19.1]
NVE13426,,
NVE24052,,
NVE21517,K14567,UTP14; U3 small nucleolar RNA-associated protein 14
NVE20895,,
NVE16709,,
NVE9876,,
NVE15009,,
NVE10152,K16330,pseudouridylate synthase / pseudouridine kinase [EC:4.2.1.70 2.7.1.83]
NVE3976,K09097,ARNT; aryl hydrocarbon receptor nuclear translocator
NVE1518,,
NVE16713,,
NVE22623,,
NVE23034,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE11366,K10464,KLHL28; kelch-like protein 28
NVE16312,,
NVE17609,,
NVE25384,,
NVE7633,K11141,ENPEP; glutamyl aminopeptidase [EC:3.4.11.7]
NVE25454,K00784,rnz; ribonuclease Z [EC:3.1.26.11]
NVE9971,K08819,CDK12_13; cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
NVE1670,K10612,CUL5; cullin 5
NVE57,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE17663,,
NVE18318,K13338,PEX1; peroxin-1
NVE24339,K04958,"ITPR1; inositol 1,4,5-triphosphate receptor type 1"
NVE22945,K13143,INTS6; integrator complex subunit 6
NVE8693,,
NVE6061,K14806,DDX31; ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]
NVE8627,,
NVE11485,K05662,"ABCB7; ATP-binding cassette, subfamily B (MDR/TAP), member 7"
NVE1320,K19986,EXOC8; exocyst complex component 8
NVE19568,K11976,RNF216; TRIAD3; E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]
NVE10975,K02366,EXT1; glucuronyl/N-acetylglucosaminyl transferase EXT1 [EC:2.4.1.224 2.4.1.225]
NVE16490,K05048,"SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
NVE3959,K07369,MALT1; mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
NVE5619,K00939,adk; adenylate kinase [EC:2.7.4.3]
NVE10533,,
NVE19990,K00907,MYLK; myosin-light-chain kinase [EC:2.7.11.18]
NVE5606,K22078,PGGHG; protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]
NVE10727,,
NVE15856,K14703,"SLC26A5; solute carrier family 26, member 5"
NVE26006,K22078,PGGHG; protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]
NVE2815,,
NVE4957,,
NVE21227,K21396,"WHT; ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter"
NVE11246,K18400,KANSL1; KAT8 regulatory NSL complex subunit 1
NVE9540,,
NVE3267,K11968,ARIH1; ariadne-1 [EC:2.3.2.31]
NVE25019,,
NVE18524,K10641,LRSAM1; E3 ubiquitin-protein ligase LRSAM1 [EC:2.3.2.27]
NVE23663,K02605,ORC3; origin recognition complex subunit 3
NVE16859,K01922,PPCS; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]
NVE7647,K12366,ELMO1; engulfment and cell motility protein 1
NVE6778,K10408,"DNAH; dynein heavy chain, axonemal"
NVE5728,,
