"Pathway","cluster","KO","Description","Category","Family","KO.y","Name"
"00040 Pentose and glucuronate interconversions","NVE12805","K00008","SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Metabolism","Carbohydrate metabolism","ko00040","SORD, gutB, L-iditol 2-dehydrogenase"
"00051 Fructose and mannose metabolism","NVE12805","K00008","SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Metabolism","Carbohydrate metabolism","ko00051","SORD, gutB, L-iditol 2-dehydrogenase"
"00562 Inositol phosphate metabolism","NVE3257","K00010","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism","Carbohydrate metabolism","ko00562","iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase"
"00521 Streptomycin biosynthesis","NVE3257","K00010","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism","Biosynthesis of other secondary metabolites","ko00521","iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase"
"00562 Inositol phosphate metabolism","NVE3259","K00010","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism","Carbohydrate metabolism","ko00562","iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase"
"00521 Streptomycin biosynthesis","NVE3259","K00010","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism","Biosynthesis of other secondary metabolites","ko00521","iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase"
"00040 Pentose and glucuronate interconversions","NVE8495","K00012","UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Metabolism","Carbohydrate metabolism","ko00040","UGDH, ugd, UDPglucose 6-dehydrogenase"
"00053 Ascorbate and aldarate metabolism","NVE8495","K00012","UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Metabolism","Carbohydrate metabolism","ko00053","UGDH, ugd, UDPglucose 6-dehydrogenase"
"00520 Amino sugar and nucleotide sugar metabolism","NVE8495","K00012","UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Metabolism","Carbohydrate metabolism","ko00520","UGDH, ugd, UDPglucose 6-dehydrogenase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE19601","K00015","gyaR; glyoxylate reductase [EC:1.1.1.26]","Metabolism","Carbohydrate metabolism","ko00630","gyaR, glyoxylate reductase"
"00650 Butanoate metabolism","NVE13290","K00019","E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism","Carbohydrate metabolism","ko00650","E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase"
"00072 Synthesis and degradation of ketone bodies","NVE13290","K00019","E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism","Lipid metabolism","ko00072","E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase"
"00650 Butanoate metabolism","NVE2030","K00019","E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism","Carbohydrate metabolism","ko00650","E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase"
"00072 Synthesis and degradation of ketone bodies","NVE2030","K00019","E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism","Lipid metabolism","ko00072","E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase"
"00280 Valine, leucine and isoleucine degradation","NVE19050","K00020","mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Metabolism","Amino acid metabolism","ko00280","mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase"
"00280 Valine, leucine and isoleucine degradation","NVE12851","K00020","mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Metabolism","Amino acid metabolism","ko00280","mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase"
"00280 Valine, leucine and isoleucine degradation","NVE12850","K00020","mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Metabolism","Amino acid metabolism","ko00280","mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase"
"00900 Terpenoid backbone biosynthesis","NVE4296","K00021","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]","Metabolism","Metabolism of terpenoids and polyketides","ko00900","HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)"
"04152 AMPK signaling pathway","NVE4296","K00021","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]","Environmental Information Processing","Signal transduction","ko04152","HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)"
"04976 Bile secretion","NVE4296","K00021","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]","Organismal Systems","Digestive system","ko04976","HMGCR, hydroxymethylglutaryl-CoA reductase (NADPH)"
"01212 Fatty acid metabolism","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Overview","ko01212","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00650 Butanoate metabolism","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Carbohydrate metabolism","ko00650","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00062 Fatty acid elongation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Lipid metabolism","ko00062","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00071 Fatty acid degradation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Lipid metabolism","ko00071","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00280 Valine, leucine and isoleucine degradation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Amino acid metabolism","ko00280","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00310 Lysine degradation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Amino acid metabolism","ko00310","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00380 Tryptophan metabolism","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Amino acid metabolism","ko00380","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00281 Geraniol degradation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Metabolism of terpenoids and polyketides","ko00281","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"00930 Caprolactam degradation","NVE9430","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism","Xenobiotics biodegradation and metabolism","ko00930","HADH, 3-hydroxyacyl-CoA dehydrogenase"
"01200 Carbon metabolism","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Overview","ko01200","mdh, malate dehydrogenase"
"00020 Citrate cycle (TCA cycle)","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00020","mdh, malate dehydrogenase"
"00620 Pyruvate metabolism","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00620","mdh, malate dehydrogenase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00630","mdh, malate dehydrogenase"
"00710 Carbon fixation in photosynthetic organisms","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Energy metabolism","ko00710","mdh, malate dehydrogenase"
"00720 Carbon fixation pathways in prokaryotes","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Energy metabolism","ko00720","mdh, malate dehydrogenase"
"00680 Methane metabolism","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Energy metabolism","ko00680","mdh, malate dehydrogenase"
"00270 Cysteine and methionine metabolism","NVE23153","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Amino acid metabolism","ko00270","mdh, malate dehydrogenase"
"01200 Carbon metabolism","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Overview","ko01200","MDH1, malate dehydrogenase"
"00020 Citrate cycle (TCA cycle)","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00020","MDH1, malate dehydrogenase"
"00620 Pyruvate metabolism","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00620","MDH1, malate dehydrogenase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00630","MDH1, malate dehydrogenase"
"00710 Carbon fixation in photosynthetic organisms","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Energy metabolism","ko00710","MDH1, malate dehydrogenase"
"00270 Cysteine and methionine metabolism","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Amino acid metabolism","ko00270","MDH1, malate dehydrogenase"
"04964 Proximal tubule bicarbonate reclamation","NVE23152","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]","Organismal Systems","Excretory system","ko04964","MDH1, malate dehydrogenase"
"01200 Carbon metabolism","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Overview","ko01200","MDH2, malate dehydrogenase"
"00020 Citrate cycle (TCA cycle)","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00020","MDH2, malate dehydrogenase"
"00620 Pyruvate metabolism","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00620","MDH2, malate dehydrogenase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Carbohydrate metabolism","ko00630","MDH2, malate dehydrogenase"
"00710 Carbon fixation in photosynthetic organisms","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Energy metabolism","ko00710","MDH2, malate dehydrogenase"
"00270 Cysteine and methionine metabolism","NVE21216","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Metabolism","Amino acid metabolism","ko00270","MDH2, malate dehydrogenase"
"01200 Carbon metabolism","NVE8805","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Overview","ko01200","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00620 Pyruvate metabolism","NVE8805","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Carbohydrate metabolism","ko00620","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00710 Carbon fixation in photosynthetic organisms","NVE8805","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Energy metabolism","ko00710","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"01200 Carbon metabolism","NVE11482","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Overview","ko01200","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00620 Pyruvate metabolism","NVE11482","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Carbohydrate metabolism","ko00620","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00710 Carbon fixation in photosynthetic organisms","NVE11482","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Energy metabolism","ko00710","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"01200 Carbon metabolism","NVE8806","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Overview","ko01200","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00620 Pyruvate metabolism","NVE8806","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Carbohydrate metabolism","ko00620","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"00710 Carbon fixation in photosynthetic organisms","NVE8806","K00029","E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism","Energy metabolism","ko00710","E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"01200 Carbon metabolism","NVE6571","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01200","IDH3, isocitrate dehydrogenase (NAD+)"
"01210 2-Oxocarboxylic acid metabolism","NVE6571","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01210","IDH3, isocitrate dehydrogenase (NAD+)"
"01230 Biosynthesis of amino acids","NVE6571","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01230","IDH3, isocitrate dehydrogenase (NAD+)"
"00020 Citrate cycle (TCA cycle)","NVE6571","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Carbohydrate metabolism","ko00020","IDH3, isocitrate dehydrogenase (NAD+)"
"01200 Carbon metabolism","NVE14769","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01200","IDH3, isocitrate dehydrogenase (NAD+)"
"01210 2-Oxocarboxylic acid metabolism","NVE14769","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01210","IDH3, isocitrate dehydrogenase (NAD+)"
"01230 Biosynthesis of amino acids","NVE14769","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01230","IDH3, isocitrate dehydrogenase (NAD+)"
"00020 Citrate cycle (TCA cycle)","NVE14769","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Carbohydrate metabolism","ko00020","IDH3, isocitrate dehydrogenase (NAD+)"
"01200 Carbon metabolism","NVE10089","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01200","IDH3, isocitrate dehydrogenase (NAD+)"
"01210 2-Oxocarboxylic acid metabolism","NVE10089","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01210","IDH3, isocitrate dehydrogenase (NAD+)"
"01230 Biosynthesis of amino acids","NVE10089","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01230","IDH3, isocitrate dehydrogenase (NAD+)"
"00020 Citrate cycle (TCA cycle)","NVE10089","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Carbohydrate metabolism","ko00020","IDH3, isocitrate dehydrogenase (NAD+)"
"01200 Carbon metabolism","NVE14766","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01200","IDH3, isocitrate dehydrogenase (NAD+)"
"01210 2-Oxocarboxylic acid metabolism","NVE14766","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01210","IDH3, isocitrate dehydrogenase (NAD+)"
"01230 Biosynthesis of amino acids","NVE14766","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Overview","ko01230","IDH3, isocitrate dehydrogenase (NAD+)"
"00020 Citrate cycle (TCA cycle)","NVE14766","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism","Carbohydrate metabolism","ko00020","IDH3, isocitrate dehydrogenase (NAD+)"
"01200 Carbon metabolism","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01200","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01210 2-Oxocarboxylic acid metabolism","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01210","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01230 Biosynthesis of amino acids","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01230","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00020 Citrate cycle (TCA cycle)","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Carbohydrate metabolism","ko00020","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00720 Carbon fixation pathways in prokaryotes","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Energy metabolism","ko00720","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00480 Glutathione metabolism","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Metabolism of other amino acids","ko00480","IDH1, IDH2, icd, isocitrate dehydrogenase"
"04146 Peroxisome","NVE21432","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Cellular Processes","Transport and catabolism","ko04146","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01200 Carbon metabolism","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01200","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01210 2-Oxocarboxylic acid metabolism","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01210","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01230 Biosynthesis of amino acids","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Overview","ko01230","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00020 Citrate cycle (TCA cycle)","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Carbohydrate metabolism","ko00020","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00720 Carbon fixation pathways in prokaryotes","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Energy metabolism","ko00720","IDH1, IDH2, icd, isocitrate dehydrogenase"
"00480 Glutathione metabolism","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism","Metabolism of other amino acids","ko00480","IDH1, IDH2, icd, isocitrate dehydrogenase"
"04146 Peroxisome","NVE21874","K00031","IDH1; isocitrate dehydrogenase [EC:1.1.1.42]","Cellular Processes","Transport and catabolism","ko04146","IDH1, IDH2, icd, isocitrate dehydrogenase"
"01200 Carbon metabolism","NVE7806","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Overview","ko01200","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"00030 Pentose phosphate pathway","NVE7806","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Carbohydrate metabolism","ko00030","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"00480 Glutathione metabolism","NVE7806","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Metabolism of other amino acids","ko00480","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"01200 Carbon metabolism","NVE6760","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Overview","ko01200","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"00030 Pentose phosphate pathway","NVE6760","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Carbohydrate metabolism","ko00030","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"00480 Glutathione metabolism","NVE6760","K00033","PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism","Metabolism of other amino acids","ko00480","PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase"
"01200 Carbon metabolism","NVE11147","K00036","G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Metabolism","Overview","ko01200","G6PD, zwf, glucose-6-phosphate 1-dehydrogenase"
"00030 Pentose phosphate pathway","NVE11147","K00036","G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Metabolism","Carbohydrate metabolism","ko00030","G6PD, zwf, glucose-6-phosphate 1-dehydrogenase"
"00480 Glutathione metabolism","NVE11147","K00036","G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Metabolism","Metabolism of other amino acids","ko00480","G6PD, zwf, glucose-6-phosphate 1-dehydrogenase"
"00620 Pyruvate metabolism","NVE1238","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Carbohydrate metabolism","ko00620","GRHPR, glyoxylate/hydroxypyruvate reductase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE1238","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Carbohydrate metabolism","ko00630","GRHPR, glyoxylate/hydroxypyruvate reductase"
"00260 Glycine, serine and threonine metabolism","NVE1238","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Amino acid metabolism","ko00260","GRHPR, glyoxylate/hydroxypyruvate reductase"
"00620 Pyruvate metabolism","NVE21878","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Carbohydrate metabolism","ko00620","GRHPR, glyoxylate/hydroxypyruvate reductase"
"00630 Glyoxylate and dicarboxylate metabolism","NVE21878","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Carbohydrate metabolism","ko00630","GRHPR, glyoxylate/hydroxypyruvate reductase"
"00260 Glycine, serine and threonine metabolism","NVE21878","K00049","GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism","Amino acid metabolism","ko00260","GRHPR, glyoxylate/hydroxypyruvate reductase"
"01200 Carbon metabolism","NVE4032","K00058","serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism","Overview","ko01200","serA, PHGDH, D-3-phosphoglycerate dehydrogenase"
"01230 Biosynthesis of amino acids","NVE4032","K00058","serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism","Overview","ko01230","serA, PHGDH, D-3-phosphoglycerate dehydrogenase"
"00680 Methane metabolism","NVE4032","K00058","serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism","Energy metabolism","ko00680","serA, PHGDH, D-3-phosphoglycerate dehydrogenase"
"00260 Glycine, serine and threonine metabolism","NVE4032","K00058","serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism","Amino acid metabolism","ko00260","serA, PHGDH, D-3-phosphoglycerate dehydrogenase"
